institution,sex,y4,y6
A,Female,4953,4525
A,Male,17897,16312
B,Female,2834,3316
B,Male,9351,10473
C,Female,2071,1764
C,Male,10128,8575
D,Female,2217,2096
D,Male,8099,7863
E,Female,2300,1941
E,Male,9062,7559
F,Female,1601,1270
F,Male,7222,5545
G,Female,1226,1146
G,Male,5315,4911
H,Female,981,774
H,Male,4548,3640
J,Female,799,666
J,Male,4005,3315
K,Female,439,412
K,Male,1981,1789
L,Female,401,824
L,Male,602,1332
M,Female,462,319
M,Male,1829,1160
N,Female,322,228
N,Male,1338,838
P,Female,457,283
P,Male,827,447
